129,133,79,
128,131,77,
113,115,64,
111,113,64,
105,107,58,
106,106,61,
104,102,60,
91,66,40,
99,59,36,
91,61,39,
90,57,38,
90,58,40,
55,45,26,
55,47,28,
54,50,31,
52,48,31,
57,52,34,
187,173,170,
197,180,178,
195,177,175,
197,173,172,
197,169,169,
174,151,151,
185,157,161,
170,145,145,
174,147,147,
172,145,147,
173,146,148,
170,149,149,
171,150,150,
162,143,142,
170,137,140,
170,149,150,
171,143,147,
168,143,144,
169,142,144,
172,143,143,
187,139,146,
187,139,145,
150,113,112,
64,25,25,
64,25,25,
64,25,25,
63,25,26,
63,25,25,
64,25,25,
65,26,25,
65,25,25,
65,25,25,
53,29,25,
53,29,25,
53,29,25,
52,29,25,
52,29,26,
50,42,33,
50,42,33,
57,41,33,
56,41,33,
57,41,33,
57,41,33,
56,40,32,
57,40,32,
57,41,33,
57,41,33,
54,28,25,
53,28,24,
53,28,24,
53,28,24,
53,28,24,
53,28,24,
52,27,24,
53,28,24,
53,28,24,
53,28,24,
53,28,24,
53,28,24,
52,27,24,
53,27,24,
53,34,30,
53,34,30,
4,4,4,
4,4,4,
4,4,4,
4,4,4,
4,4,4,
21,14,14,
21,14,14,
20,13,13,
20,12,12,
19,16,13,
9,9,7,
20,17,12,
21,18,13,
22,18,14,
21,18,13,
21,18,13,
21,17,13,
23,21,16,
23,21,16,
23,21,17,
28,26,20,
11,11,11,
9,9,9,
11,11,11,
9,9,9,
11,11,11,
10,10,10,
4,4,4,
4,4,4,
4,4,4,
4,4,4,
4,4,4,
4,4,4,
48,21,20,
49,23,22,
49,23,22,
49,23,22,
20,28,30,
20,28,31,
20,29,31,
4,4,4,
8,10,8,
13,11,9,
8,9,8,
7,8,8,
7,8,8,
7,7,5,
8,8,5,
13,9,7,
16,9,7,
35,13,13,
34,13,12,
29,13,13,
25,12,12,
136,66,56,
12,9,7,
8,7,5,
158,80,73,
47,20,18,
103,53,37,
133,67,53,
9,12,26,
8,10,22,
8,7,26,
21,12,16,
23,15,27,
171,171,164,
4,4,16,
45,16,17,
45,19,17,
40,23,23,
134,39,43,
113,34,30,
17,10,24,
98,27,32,
98,26,33,
13,6,13,
13,6,15,
16,15,35,
16,15,34,
53,42,40,
55,43,42,
56,43,42,
57,44,43,
52,41,39,
54,43,41,
54,42,41,
54,42,41,
50,40,39,
52,42,40,
52,41,40,
54,41,39,
53,41,39,
56,43,40,
213,170,146,
217,172,146,
219,173,147,
219,174,148,
216,172,145,
221,175,148,
225,178,150,
227,181,152,
224,178,151,
61,45,42,
57,43,39,
50,42,39,
53,43,40,
60,47,45,
56,44,42,
56,43,40,
57,43,40,
61,46,42,
60,46,44,
147,123,110,
58,45,41,
153,131,118,
58,47,45,
54,44,42,
47,40,37,
31,26,27,
4,4,4,
31,43,58,
56,82,113,
61,92,128,
56,85,119,
56,85,118,
57,85,118,
38,65,88,
38,66,89,
39,67,91,
69,107,147,
68,107,148,
11,11,19,
12,12,20,
12,11,20,
11,8,20,
11,9,21,
10,8,18,
10,8,18,
13,9,19,
9,6,14,
8,6,10,
9,6,10,
76,72,37,
89,85,44,
112,104,51,
175,152,57,
172,150,55,
168,148,55,
157,138,54,
182,160,57,
179,156,57,
182,160,58,
185,160,59,
179,155,56,
22,32,47,
22,31,46,
22,31,45,
22,30,44,
76,95,131,
146,148,144,
147,148,145,
130,130,129,
139,139,137,
138,140,137,
122,122,120,
115,115,114,
121,121,119,
121,122,120,
121,122,120,
130,132,130,
113,113,113,
111,110,109,
112,109,110,
111,108,109,
111,107,108,
44,43,46,
110,108,108,
111,107,108,
113,109,110,
111,108,108,
128,125,124,
129,126,124,
131,128,127,
134,132,129,
136,133,130,
136,132,131,
136,132,132,
129,122,123,
131,125,126,
133,128,131,
123,116,121,
118,111,114,
130,122,123,
102,96,97,
86,80,80,
86,82,85,
30,34,48,
43,57,81,
31,41,62,

